	some	234	red	242	space	251	thomas	246	man	242	when	229	explain	245	with	219	medicine	262	enough	243	fitness	230
MLMSG4	many	224	cross	246	shuttle	258	james	241	woman	205	then	262	reveal	213	between	233	arts	281	harder	249	skill	232
	several	229	green	207	station	244	charles	282	boy	236	once	260	admit	224	while	240	design	243	simply	257	kiss	216
	both	222	yellow	272	forest	199	brian	248	girl	271	if	200	understand	293	without	274	teaching	274	actually	268	kicking	302
	all	236	blue	243	building	248	paul	264	father	226	finally	242	deny	327	and	197	engineering	266	quite	263	self	234
	these	239	river	235	orbit	231	scott	253	mother	268	after	244	react	270	or	196	secondary	286	fit	217	ear	251
LMSG4	many	224	yellow	272	hubble	316	michael	292	woman	205	then	262	explaining	315	between	233	medical	269	sufficiently	411	managerial	258
	several	229	blue	243	telescope	210	francis	309	teenager	251	before	238	comprehend	398	involving	271	genetics	229	too	232	stamina	181
	lots	185	carpet	257	shuttle	258	james	241	boy	236	if	200	understand	293	alongside	227	chemistry	252	sufficient	273	physical	281
	dozens	283	wings	426	nasa	255	frank	192	girl	271	suddenly	319	illustrate	189	without	274	treatment	340	so	210	sobriety	376
	numerous	301	green	207	orbit	231	martin	302	person	219	after	244	invent	312	behind	247	linguistics	397	fairly	275	skill	232
MSG4	many	224	crescent	-	shuttle	258	gregory	205	woman	205	then	262	understand	293	and	197	medical	269	sufficient	273	aerobic	296
	lots	185	yellow	272	orbiting	-	james	241	boy	236	finally	242	tell	213	racking		dentistry		able	221	physical	281
	most	223	green	207	nasa	255	j.	276	teen-ager		suddenly	319	fathom	-	despite	302	radiology		so	210	nutrition	
	plenty	266	blue	243	spacecraft	-	clarence	-	teenager	251	before	238	acknowledge	-	between	233	medicines		sufficiently	411	parenting	
	mostly	185	wings	426	orbit	231	peter	263	girl	271	until	251	reveal	213	looking-for	282	psychiatry		too	232	workout	
SG4	many	224	yellow	272	orbiting	-	gregory	205	woman	205	then	262	understand	293	wth		medical	269	sufficient	273	physiotherapy	
	hundreds	285	blue	243	nasa	255	james	241	boy	236	finally	242	clarify	-	and	197	dentistry		sufficiently	411	wellness	
	mostly	185	crescent	-	shuttle	258	j.	276	teen-ager		before	238	tell	213	wih		pharmacology		able	221	weight-training	
	lots	185	fire-engine	-	spacecraft	-	anthony	300	teenager	251	but	210	describe	-	while	240	radiology		so	210	pilates	
	dozens	283	purple	249	iss	-	michael	292	westerner		again	268	fathom	-	in	193	obstetrics		too	232	melwood	
																						
	about	233	you	209	food	269	coast	204	environment	234	asylum	250	book	241	learn	230	exploiting	495	sail	136		
MLMSG4	raised	253	yourself	221	electricity	374	island	234	development	227	mps	249	film	230	hear	224	bedouin	519	plug	198		
	some	234	happens	186	equipment	283	west	227	promoting	192	monies	310	movie	216	forget	157	manipulating	198	shine	245		
	over	228	myself	213	supply	253	river	235	scientific	307	openly	251	novel	252	eat	267	diaries	337	bend	226		
	just	222	'll	230	systems	261	waters	240	cultural	258	secretly	203	writing	273	teach	221	flats	171	sink	207		
	nearly	274	really	259	natural	265	islands	295	stability	302	offenders	239	column	263	listen	212	glaring	370	snatch	256		
LMSG4	nearly	274	yourself	221	grain	374	coastal	318	agriculture	443	seekers	314	books	266	teach	221	manipulating	198	fly	234		
	approximately	338	we	202	seafood	334	shores	260	sustainability	321	immigrants	390	novel	252	learned	395	harming	266	cruising	262		
	over	228	i	171	water	228	seaboard	265	ecological	407	reparations	455	poem	242	learning	276	exposing	209	fork	187		
	barely	356	yours	240	coffee	242	south	249	development	227	asylum-seekers	421	biography	295	learnt	281	principally	362	crawl	315		
	pondering	260	somebody	293	essentials	298	waters	240	situation	282	migrants	303	memoirs	350	understand	293	eradicating	436	excursion	404		
MSG4	approximately	338	yourself	221	medicines		coastline	-	ecology		visas		paperback		teach	221	exploit		voyage			
	roughly	-	''you		foodstuffs		coasts	-	ecological	407	seekers	314	essay		understand	293	exposing	209	sailing			
	nearly	274	i	171	cereals		coastal	318	sustainable	378	asylum-seekers	421	novel	252	learned	395	neglecting		boat	208		
	raises	218	we	202	cereal		island	234	environments	387	citizenship		memoir		tell	213	depriving		boats	244		
	around	275	somebody	293	bottled		sea	236	biodiversity		deportation		books	266	assimilate	-	corrupting		yacht			
SG4	abut	-	''you		foodstuffs		coasts	-	ecology		asylum-seekers	421	memoir		teach	221	exploit		sailing			
	approximately	338	yourself	221	cereals		coastline	-	environments	387	seekers	314	paperback		learned	395	exposing	209	sails			
	roughly	-	i	171	foods		island	234	climate	244	visas	-	novel	252	understand	293	perpetuating		catamaran			
	smrtici	-	somebody	293	medicines		chandeleur	-	sustainable	378	citizenship	-	just-published		tell	213	undermining		sailboat			
	around	275	y'all		bottled		seaboard	265	ecological	407	deport	-	autobiography		unlearn	-	exploited		voyage			
